NAME,county,total_housing_units,fuel_oil_kerosene_units,fuel_oil_pct,median_household_income,total_population,white_alone_population,minority_population,minority_pct
Census Tract 73; Bronx County; New York,Bronx,1552,21,1.3530927835051547,31442.0,4555,419,4136,90.801317233809
Census Tract 74; Bronx County; New York,Bronx,1380,88,6.3768115942028984,52641.0,3281,285,2996,91.31362389515391
Census Tract 75; Bronx County; New York,Bronx,2449,225,9.187423438138016,35892.0,6543,1161,5382,82.25584594222833
Census Tract 76; Bronx County; New York,Bronx,1825,743,40.71232876712329,53650.0,5317,271,5046,94.90314086891104
Census Tract 77; Bronx County; New York,Bronx,591,81,13.705583756345177,44447.0,1996,315,1681,84.21843687374749
Census Tract 78; Bronx County; New York,Bronx,1981,745,37.60726905603231,58513.0,5858,878,4980,85.01194947080914
Census Tract 79; Bronx County; New York,Bronx,2290,505,22.05240174672489,36514.0,6987,164,6823,97.65278374123372
Census Tract 83; Bronx County; New York,Bronx,2239,567,25.323805270209913,53560.0,6588,379,6209,94.24711596842744
Census Tract 84; Bronx County; New York,Bronx,1008,91,9.027777777777777,57083.0,2716,400,2316,85.27245949926362
Census Tract 85; Bronx County; New York,Bronx,2110,352,16.682464454976305,43531.0,5665,723,4942,87.23742277140335
Census Tract 86; Bronx County; New York,Bronx,1539,138,8.966861598440545,24023.0,4117,633,3484,84.62472674277386
Census Tract 87; Bronx County; New York,Bronx,2109,443,21.00521574205785,40708.0,6299,445,5854,92.93538656929672
Census Tract 89; Bronx County; New York,Bronx,1327,143,10.776186887716655,36625.0,2993,347,2646,88.4062813230872
Census Tract 90; Bronx County; New York,Bronx,1221,180,14.742014742014742,33275.0,3593,594,2999,83.46785416086836
Census Tract 92; Bronx County; New York,Bronx,1871,965,51.5766969535008,56913.0,5675,790,4885,86.07929515418502
Census Tract 93.01; Bronx County; New York,Bronx,1918,207,10.792492179353493,54241.0,5615,430,5185,92.34194122885128
Census Tract 93.02; Bronx County; New York,Bronx,0,0,,,405,92,313,77.28395061728395
Census Tract 96; Bronx County; New York,Bronx,835,195,23.353293413173652,53523.0,2352,349,2003,85.16156462585033
Census Tract 98; Bronx County; New York,Bronx,1680,326,19.404761904761905,67500.0,4647,1040,3607,77.61996987303637
Census Tract 110; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 115.02; Bronx County; New York,Bronx,1507,97,6.436629064366291,30172.0,3850,211,3639,94.51948051948051
Census Tract 117.01; Bronx County; New York,Bronx,492,52,10.569105691056912,35298.0,1318,8,1310,99.39301972685888
Census Tract 117.02; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 118; Bronx County; New York,Bronx,1566,316,20.178799489144318,100500.0,5538,3882,1656,29.902491874322862
Census Tract 119; Bronx County; New York,Bronx,1874,471,25.13340448239061,36250.0,5889,302,5587,94.87179487179486
Census Tract 121.01; Bronx County; New York,Bronx,1055,305,28.90995260663507,51205.0,3413,244,3169,92.85086434222092
Census Tract 121.02; Bronx County; New York,Bronx,548,14,2.5547445255474455,43032.0,1495,76,1419,94.91638795986623
Census Tract 123; Bronx County; New York,Bronx,1710,99,5.7894736842105265,36154.0,4092,179,3913,95.62561094819159
Census Tract 125; Bronx County; New York,Bronx,1418,243,17.136812411847675,58333.0,4146,359,3787,91.34105161601543
Census Tract 127.01; Bronx County; New York,Bronx,775,249,32.12903225806451,49784.0,2385,214,2171,91.0272536687631
Census Tract 129.01; Bronx County; New York,Bronx,1653,282,17.05989110707804,35521.0,5261,530,4731,89.92586960653868
Census Tract 130; Bronx County; New York,Bronx,444,39,8.783783783783784,65357.0,1329,649,680,51.16629044394282
Census Tract 131; Bronx County; New York,Bronx,2240,278,12.410714285714286,18408.0,5210,619,4591,88.1190019193858
Census Tract 132; Bronx County; New York,Bronx,2609,88,3.3729398236872363,108582.0,7126,2236,4890,68.62194779680046
Census Tract 133; Bronx County; New York,Bronx,2191,206,9.402099497946145,31762.0,5838,425,5413,92.72010962658445
Census Tract 135; Bronx County; New York,Bronx,1485,131,8.821548821548822,30865.0,3295,580,2715,82.39757207890743
Census Tract 138; Bronx County; New York,Bronx,1250,83,6.64,90032.0,2957,1653,1304,44.098748731822795
Census Tract 141; Bronx County; New York,Bronx,2957,266,8.995603652350354,35238.0,6864,236,6628,96.56177156177156
Census Tract 143; Bronx County; New York,Bronx,697,196,28.120516499282637,16734.0,1685,77,1608,95.43026706231454
Census Tract 144; Bronx County; New York,Bronx,2318,835,36.022433132010356,32197.0,6465,607,5858,90.61098221191028
Census Tract 145; Bronx County; New York,Bronx,2381,252,10.583788324233517,28022.0,6560,386,6174,94.11585365853658
Census Tract 147.01; Bronx County; New York,Bronx,2052,36,1.7543859649122806,23500.0,5151,302,4849,94.13706076490001
Census Tract 147.02; Bronx County; New York,Bronx,1881,147,7.814992025518341,21533.0,4985,519,4466,89.5887662988967
Census Tract 149; Bronx County; New York,Bronx,1535,192,12.50814332247557,35213.0,4755,578,4177,87.84437434279707
Census Tract 151; Bronx County; New York,Bronx,2146,287,13.373718546132341,30558.0,5414,467,4947,91.37421499815294
Census Tract 152; Bronx County; New York,Bronx,976,223,22.848360655737704,84265.0,2601,1099,1502,57.74702037677816
Census Tract 153; Bronx County; New York,Bronx,1749,283,16.18067467124071,34704.0,3502,337,3165,90.37692747001714
Census Tract 155; Bronx County; New York,Bronx,1085,385,35.483870967741936,42118.0,3154,135,3019,95.71972098922004
Census Tract 157; Bronx County; New York,Bronx,2267,283,12.483458314953683,45731.0,5959,411,5548,93.1028696089948
Census Tract 158; Bronx County; New York,Bronx,534,47,8.801498127340825,81000.0,1625,805,820,50.46153846153846
Census Tract 159; Bronx County; New York,Bronx,929,152,16.361679224973088,24654.0,2153,68,2085,96.84161634928007
Census Tract 160; Bronx County; New York,Bronx,1543,194,12.572909915748543,97445.0,4063,2621,1442,35.49101649027812
Census Tract 161; Bronx County; New York,Bronx,2127,500,23.507287259050305,23466.0,4789,793,3996,83.4412194612654
Census Tract 162; Bronx County; New York,Bronx,497,97,19.517102615694164,102361.0,1802,652,1150,63.81798002219756
Census Tract 163; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 164; Bronx County; New York,Bronx,391,121,30.946291560102303,95781.0,1107,491,616,55.64588979223125
Census Tract 165; Bronx County; New York,Bronx,360,61,16.944444444444446,59000.0,1233,50,1183,95.9448499594485
Census Tract 166; Bronx County; New York,Bronx,833,81,9.723889555822328,107344.0,2387,599,1788,74.90573942186846
Census Tract 167; Bronx County; New York,Bronx,1123,127,11.308993766696348,36181.0,3203,153,3050,95.22322822354043
Census Tract 169; Bronx County; New York,Bronx,605,47,7.768595041322314,47610.0,1759,100,1659,94.31495167708925
Census Tract 171; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 173; Bronx County; New York,Bronx,2226,436,19.58670260557053,,5257,977,4280,81.41525584934374
Census Tract 175; Bronx County; New York,Bronx,3035,557,18.352553542009883,,6444,566,5878,91.21663563004346
Census Tract 177.01; Bronx County; New York,Bronx,1397,265,18.96921975662133,46070.0,4566,295,4271,93.53920280332896
Census Tract 177.02; Bronx County; New York,Bronx,1681,313,18.619869125520523,38897.0,5236,775,4461,85.19862490450726
Census Tract 179.01; Bronx County; New York,Bronx,1689,219,12.966252220248666,45292.0,4993,394,4599,92.10895253354695
Census Tract 179.02; Bronx County; New York,Bronx,1305,340,26.053639846743295,46230.0,3571,179,3392,94.98739848781854
Census Tract 181.01; Bronx County; New York,Bronx,1048,215,20.515267175572518,55400.0,3345,86,3259,97.42899850523169
Census Tract 181.02; Bronx County; New York,Bronx,2161,463,21.42526608051828,36334.0,4903,179,4724,96.34917397511728
Census Tract 183.01; Bronx County; New York,Bronx,2017,471,23.351512146752604,54226.0,4427,1015,3412,77.07250960018071
Census Tract 183.02; Bronx County; New York,Bronx,1467,251,17.109747784594408,65196.0,3301,37,3264,98.87912753710997
Census Tract 184; Bronx County; New York,Bronx,1376,644,46.80232558139535,101705.0,3994,1806,2188,54.78217325988983
Census Tract 185.01; Bronx County; New York,Bronx,1381,176,12.744388124547429,,3154,237,2917,92.4857324032974
Census Tract 185.02; Bronx County; New York,Bronx,2156,193,8.951762523191094,32656.0,6658,1022,5636,84.65004505857615
Census Tract 189; Bronx County; New York,Bronx,2925,699,23.897435897435898,48054.0,8375,933,7442,88.85970149253731
Census Tract 193; Bronx County; New York,Bronx,2418,637,26.344086021505376,41268.0,5751,1034,4717,82.02051817075291
Census Tract 194; Bronx County; New York,Bronx,686,243,35.42274052478135,87188.0,1966,492,1474,74.97456765005086
Census Tract 195; Bronx County; New York,Bronx,2672,475,17.77694610778443,37374.0,7286,660,6626,90.94153170463903
Census Tract 197; Bronx County; New York,Bronx,2462,179,7.27051177904143,24383.0,7478,1289,6189,82.76277079433004
Census Tract 199; Bronx County; New York,Bronx,3162,652,20.619860847564834,31228.0,7300,550,6750,92.46575342465754
Census Tract 200; Bronx County; New York,Bronx,1467,539,36.74164962508521,47161.0,4925,602,4323,87.77664974619289
Census Tract 201; Bronx County; New York,Bronx,1439,393,27.31063238359972,36218.0,3950,385,3565,90.25316455696203
Census Tract 202; Bronx County; New York,Bronx,1000,398,39.800000000000004,52061.0,2597,257,2340,90.10396611474779
Census Tract 204; Bronx County; New York,Bronx,987,545,55.21783181357649,60504.0,2966,555,2411,81.28792987188133
Census Tract 205.01; Bronx County; New York,Bronx,2652,686,25.867269984917048,20821.0,7319,1540,5779,78.95887416313704
Census Tract 205.02; Bronx County; New York,Bronx,1016,197,19.38976377952756,41125.0,2401,257,2144,89.29612661391087
Census Tract 206.01; Bronx County; New York,Bronx,1028,353,34.33852140077821,59138.0,2547,208,2339,91.83352964271693
Census Tract 209; Bronx County; New York,Bronx,1989,177,8.89894419306184,39795.0,5225,684,4541,86.9090909090909
Census Tract 210.01; Bronx County; New York,Bronx,3570,940,26.330532212885156,46223.0,7519,416,7103,94.4673493815667
Census Tract 210.02; Bronx County; New York,Bronx,3046,481,15.791201575837164,70500.0,7453,599,6854,91.96296793237623
Census Tract 211; Bronx County; New York,Bronx,2057,417,20.2722411278561,50204.0,6291,775,5516,87.68081386107137
Census Tract 212; Bronx County; New York,Bronx,2356,522,22.156196943972837,69088.0,5227,442,4785,91.54390663860723
Census Tract 213.01; Bronx County; New York,Bronx,450,84,18.666666666666668,47959.0,1244,77,1167,93.81028938906752
Census Tract 213.02; Bronx County; New York,Bronx,2361,207,8.767471410419315,30473.0,5604,349,5255,93.77230549607424
Census Tract 215.01; Bronx County; New York,Bronx,1314,132,10.045662100456621,43750.0,4612,907,3705,80.33391153512575
Census Tract 215.02; Bronx County; New York,Bronx,2228,508,22.800718132854577,,6953,681,6272,90.20566661872573
Census Tract 216.01; Bronx County; New York,Bronx,1564,612,39.130434782608695,54565.0,4865,931,3934,80.86330935251799
Census Tract 216.02; Bronx County; New York,Bronx,2389,479,20.050230221850146,59408.0,6344,310,6034,95.11349306431273
Census Tract 217; Bronx County; New York,Bronx,1839,306,16.6394779771615,41416.0,5100,220,4880,95.68627450980392
Census Tract 218; Bronx County; New York,Bronx,2294,823,35.876198779424584,58807.0,6041,363,5678,93.99106108260223
Census Tract 219; Bronx County; New York,Bronx,419,23,5.4892601431980905,48623.0,1022,71,951,93.05283757338552
Census Tract 220; Bronx County; New York,Bronx,634,100,15.772870662460567,23468.0,1901,193,1708,89.84744871120462
Census Tract 221.01; Bronx County; New York,Bronx,1301,162,12.45196003074558,58186.0,3743,423,3320,88.69890462196099
Census Tract 221.02; Bronx County; New York,Bronx,1641,293,17.85496648385131,37022.0,5896,644,5252,89.07734056987789
Census Tract 222; Bronx County; New York,Bronx,1110,542,48.82882882882883,56029.0,3303,180,3123,94.55040871934605
Census Tract 223; Bronx County; New York,Bronx,2154,370,17.177344475394616,45007.0,5207,978,4229,81.21759170347609
Census Tract 224.01; Bronx County; New York,Bronx,967,429,44.36401240951396,67824.0,2528,462,2066,81.7246835443038
Census Tract 224.03; Bronx County; New York,Bronx,1106,475,42.94755877034358,91225.0,2788,354,2434,87.30272596843616
Census Tract 224.04; Bronx County; New York,Bronx,1933,437,22.607346094154167,59482.0,4466,839,3627,81.21361397223467
Census Tract 225; Bronx County; New York,Bronx,2336,780,33.39041095890411,53191.0,9408,1035,8373,88.99872448979592
Census Tract 227.01; Bronx County; New York,Bronx,2045,514,25.134474327628364,37134.0,4995,108,4887,97.83783783783784
Census Tract 227.02; Bronx County; New York,Bronx,548,95,17.335766423357665,27446.0,1277,30,1247,97.65074393108848
Census Tract 227.03; Bronx County; New York,Bronx,708,235,33.19209039548023,66146.0,1728,554,1174,67.93981481481481
Census Tract 228; Bronx County; New York,Bronx,2317,581,25.075528700906347,87961.0,5623,1068,4555,81.00658011737507
Census Tract 229.01; Bronx County; New York,Bronx,1964,668,34.0122199592668,52763.0,5541,523,5018,90.56127052878541
Census Tract 229.02; Bronx County; New York,Bronx,1157,427,36.90579083837511,35313.0,3239,213,3026,93.4238962642791
Census Tract 230; Bronx County; New York,Bronx,963,221,22.949117341640708,55460.0,2555,812,1743,68.21917808219177
Census Tract 231; Bronx County; New York,Bronx,410,71,17.317073170731707,59388.0,1570,72,1498,95.4140127388535
Census Tract 232; Bronx County; New York,Bronx,862,332,38.51508120649652,45125.0,2462,816,1646,66.85621445978879
Census Tract 233.01; Bronx County; New York,Bronx,1648,452,27.427184466019416,42778.0,3742,126,3616,96.63281667557456
Census Tract 233.02; Bronx County; New York,Bronx,1037,436,42.044358727097396,65156.0,3665,250,3415,93.1787175989086
Census Tract 235.01; Bronx County; New York,Bronx,1244,323,25.964630225080388,37194.0,3322,23,3299,99.30764599638772
Census Tract 235.02; Bronx County; New York,Bronx,1607,314,19.53951462352209,47484.0,4284,210,4074,95.09803921568627
Census Tract 236; Bronx County; New York,Bronx,557,156,28.007181328545784,54583.0,1602,332,1270,79.27590511860176
Census Tract 237.02; Bronx County; New York,Bronx,323,210,65.01547987616098,44583.0,1119,62,1057,94.45933869526363
Census Tract 237.03; Bronx County; New York,Bronx,1804,808,44.789356984478935,27763.0,5081,871,4210,82.85770517614642
Census Tract 237.04; Bronx County; New York,Bronx,1452,320,22.03856749311295,32984.0,3659,925,2734,74.71986881661657
Census Tract 238; Bronx County; New York,Bronx,743,232,31.22476446837147,67750.0,2394,591,1803,75.31328320802005
Census Tract 239; Bronx County; New York,Bronx,2663,641,24.07059707097259,51172.0,9384,436,8948,95.3537936913896
Census Tract 240; Bronx County; New York,Bronx,1351,521,38.5640266469282,72608.0,4147,957,3190,76.92307692307693
Census Tract 241; Bronx County; New York,Bronx,2350,133,5.659574468085107,29527.0,6284,996,5288,84.1502227880331
Census Tract 243; Bronx County; New York,Bronx,1985,309,15.566750629722922,24293.0,4401,508,3893,88.45716882526699
Census Tract 244; Bronx County; New York,Bronx,831,216,25.992779783393498,78854.0,2168,629,1539,70.9870848708487
Census Tract 245.01; Bronx County; New York,Bronx,1591,330,20.741671904462603,49904.0,5043,556,4487,88.97481657743407
Census Tract 245.02; Bronx County; New York,Bronx,1259,263,20.889594916600476,37448.0,3975,623,3352,84.32704402515722
Census Tract 246; Bronx County; New York,Bronx,793,164,20.68095838587642,95703.0,2117,641,1476,69.7213037316958
Census Tract 247; Bronx County; New York,Bronx,742,104,14.016172506738545,47283.0,1772,112,1660,93.67945823927766
Census Tract 248; Bronx County; New York,Bronx,1210,266,21.983471074380166,78839.0,3528,1388,2140,60.657596371882086
Census Tract 249; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 250; Bronx County; New York,Bronx,936,273,29.166666666666668,109667.0,2755,1417,1338,48.566243194192374
Census Tract 251; Bronx County; New York,Bronx,2313,758,32.77129269347168,50410.0,6542,542,6000,91.71507184347294
Census Tract 252; Bronx County; New York,Bronx,895,228,25.474860335195533,80583.0,2586,1173,1413,54.64037122969838
Census Tract 253; Bronx County; New York,Bronx,1856,649,34.9676724137931,43421.0,5589,160,5429,97.13723385220969
Census Tract 254; Bronx County; New York,Bronx,764,259,33.90052356020942,66053.0,1967,1033,934,47.48347737671581
Census Tract 255; Bronx County; New York,Bronx,2357,773,32.79592702588035,55042.0,6565,303,6262,95.38461538461539
Census Tract 256; Bronx County; New York,Bronx,611,170,27.823240589198033,58924.0,1664,641,1023,61.47836538461539
Census Tract 257; Bronx County; New York,Bronx,684,301,44.005847953216374,55962.0,1687,93,1594,94.4872554831061
Census Tract 261; Bronx County; New York,Bronx,1154,334,28.942807625649912,60357.0,2109,137,1972,93.50403034613561
Census Tract 263; Bronx County; New York,Bronx,2178,1241,56.978879706152426,44709.0,6767,840,5927,87.58681838333086
Census Tract 264; Bronx County; New York,Bronx,2165,672,31.039260969976905,58307.0,5735,2908,2827,49.29380993897123
Census Tract 265; Bronx County; New York,Bronx,2341,1233,52.66979923109783,60495.0,7792,971,6821,87.53850102669405
Census Tract 266.01; Bronx County; New York,Bronx,1359,402,29.58057395143488,47266.0,2864,1214,1650,57.61173184357542
Census Tract 266.02; Bronx County; New York,Bronx,2459,507,20.618137454249695,51442.0,5119,1953,3166,61.84801719085758
Census Tract 267.01; Bronx County; New York,Bronx,1294,627,48.45440494590417,44750.0,3759,378,3381,89.94413407821229
Census Tract 267.02; Bronx County; New York,Bronx,2651,1421,53.60241418332705,61494.0,7702,799,6903,89.62607115035055
Census Tract 269; Bronx County; New York,Bronx,1905,467,24.514435695538058,29140.0,4185,1139,3046,72.78375149342892
Census Tract 273; Bronx County; New York,Bronx,2954,1139,38.557887610020316,54096.0,7120,1480,5640,79.21348314606742
Census Tract 274.01; Bronx County; New York,Bronx,1783,267,14.974761637689287,104811.0,5111,3279,1832,35.84425748385834
Census Tract 274.02; Bronx County; New York,Bronx,1288,101,7.841614906832298,101667.0,3487,2191,1296,37.166618870088904
Census Tract 276; Bronx County; New York,Bronx,18,0,0.0,,57,15,42,73.68421052631578
Census Tract 277; Bronx County; New York,Bronx,1789,660,36.8921185019564,54482.0,4188,925,3263,77.91308500477555
Census Tract 279; Bronx County; New York,Bronx,2978,385,12.92813969106783,65000.0,8112,1902,6210,76.55325443786982
Census Tract 281; Bronx County; New York,Bronx,1685,540,32.047477744807125,79886.0,3512,1259,2253,64.15148063781321
Census Tract 283; Bronx County; New York,Bronx,1037,96,9.257473481195758,14194.0,2486,687,1799,72.36524537409494
Census Tract 284; Bronx County; New York,Bronx,0,0,,,480,134,346,72.08333333333333
