tract,county,GEOID,FuelOilEstimate,TotalHouseholds,FuelOilPercent
106.02,New York,NewYork106.02,152.0,2245.0,6.77
108.01,New York,NewYork108.01,241.0,1881.0,12.81
108.02,New York,NewYork108.02,418.0,2144.0,19.5
108.03,New York,NewYork108.03,11.0,1019.0,1.08
109,New York,NewYork109,4.0,84.0,4.76
110,New York,NewYork110,286.0,3921.0,7.29
111,New York,NewYork111,189.0,2741.0,6.9
112.01,New York,NewYork112.01,59.0,561.0,10.52
112.02,New York,NewYork112.02,71.0,309.0,22.98
112.03,New York,NewYork112.03,57.0,573.0,9.95
113,New York,NewYork113,7.0,34.0,20.59
114.01,New York,NewYork114.01,63.0,664.0,9.49
114.02,New York,NewYork114.02,163.0,1138.0,14.32
115,New York,NewYork115,116.0,1825.0,6.36
116,New York,NewYork116,57.0,2144.0,2.66
117,New York,NewYork117,15.0,3364.0,0.45
118,New York,NewYork118,348.0,5306.0,6.56
119,New York,NewYork119,36.0,1024.0,3.52
120,New York,NewYork120,308.0,1786.0,17.25
121.01,New York,NewYork121.01,209.0,1692.0,12.35
121.02,New York,NewYork121.02,186.0,3237.0,5.75
122,New York,NewYork122,246.0,1474.0,16.69
124,New York,NewYork124,449.0,4910.0,9.14
125,New York,NewYork125,149.0,1511.0,9.86
126.01,New York,NewYork126.01,349.0,3860.0,9.04
126.02,New York,NewYork126.02,559.0,2385.0,23.44
127,New York,NewYork127,656.0,4254.0,15.42
128,New York,NewYork128,421.0,2382.0,17.67
129.01,New York,NewYork129.01,396.0,4544.0,8.71
129.02,New York,NewYork129.02,231.0,1333.0,17.33
130,New York,NewYork130,199.0,1642.0,12.12
131,New York,NewYork131,227.0,2123.0,10.69
132.01,New York,NewYork132.01,259.0,1240.0,20.89
132.02,New York,NewYork132.02,193.0,2220.0,8.69
132.03,New York,NewYork132.03,332.0,2425.0,13.69
133,New York,NewYork133,247.0,3960.0,6.24
134,New York,NewYork134,652.0,5596.0,11.65
135.01,New York,NewYork135.01,211.0,2675.0,7.89
135.02,New York,NewYork135.02,168.0,3499.0,4.8
136.01,New York,NewYork136.01,118.0,952.0,12.39
136.02,New York,NewYork136.02,454.0,2697.0,16.83
136.03,New York,NewYork136.03,404.0,2592.0,15.59
136.04,New York,NewYork136.04,460.0,2388.0,19.26
137,New York,NewYork137,405.0,3491.0,11.6
138,New York,NewYork138,1489.0,6500.0,22.91
139,New York,NewYork139,1424.0,6383.0,22.31
140,New York,NewYork140,814.0,3873.0,21.02
142,New York,NewYork142,178.0,1911.0,9.31
143,New York,NewYork143,0.0,0.0,
144.01,New York,NewYork144.01,611.0,2500.0,24.44
144.02,New York,NewYork144.02,521.0,3730.0,13.97
145,New York,NewYork145,160.0,3203.0,5.0
146.01,New York,NewYork146.01,197.0,2265.0,8.7
146.02,New York,NewYork146.02,807.0,5037.0,16.02
147,New York,NewYork147,9.0,1419.0,0.63
148.01,New York,NewYork148.01,216.0,1248.0,17.31
148.02,New York,NewYork148.02,652.0,3234.0,20.16
149,New York,NewYork149,337.0,2880.0,11.7
150.01,New York,NewYork150.01,230.0,1011.0,22.75
150.02,New York,NewYork150.02,575.0,2182.0,26.35
151.01,New York,NewYork151.01,100.0,1482.0,6.75
151.02,New York,NewYork151.02,133.0,4556.0,2.92
152,New York,NewYork152,517.0,3665.0,14.11
153.01,New York,NewYork153.01,1038.0,2411.0,43.05
153.02,New York,NewYork153.02,781.0,3052.0,25.59
154.01,New York,NewYork154.01,294.0,3219.0,9.13
154.02,New York,NewYork154.02,76.0,1540.0,4.94
154.03,New York,NewYork154.03,218.0,2594.0,8.4
155.01,New York,NewYork155.01,676.0,2982.0,22.67
155.02,New York,NewYork155.02,390.0,2887.0,13.51
156.01,New York,NewYork156.01,168.0,2677.0,6.28
156.02,New York,NewYork156.02,70.0,1089.0,6.43
157,New York,NewYork157,1613.0,6425.0,25.11
158.01,New York,NewYork158.01,541.0,2657.0,20.36
158.02,New York,NewYork158.02,171.0,2079.0,8.23
